object	go_cam_mgi_file1.gpad	noctua_merged_file2.gpad
GO:0001101	2	1
GO:0001508	15	6
GO:0001540	11	10
GO:0001667	7	4
GO:0001708	25	16
GO:0001709	13	11
GO:0001750	79	71
GO:0001754	1	0
GO:0001775	3	2
GO:0001817	14	13
GO:0001819	19	17
GO:0002573	5	4
GO:0003674	12117	12115
GO:0003934	3	2
GO:0005085	53	52
GO:0005267	22	21
GO:0005347	2	1
GO:0005524	30	29
GO:0005540	10	9
GO:0005575	10889	10887
GO:0006915	86	81
GO:0008150	11390	11389
GO:0008219	7	4
GO:0008236	21	20
GO:0008277	19	18
GO:0008283	108	72
GO:0008284	285	211
GO:0008285	311	239
GO:0010001	17	12
GO:0010720	2	0
GO:0010831	6	5
GO:0012501	7	6
GO:0014908	6	5
GO:0015193	6	5
GO:0015718	2	1
GO:0015867	2	1
GO:0016239	12	11
GO:0016477	74	62
GO:0019244	5	4
GO:0019348	4	3
GO:0019827	67	29
GO:0030099	23	22
GO:0030112	1	0
GO:0030154	97	52
GO:0030334	46	35
GO:0030335	30	14
GO:0030336	34	20
GO:0030595	11	10
GO:0030695	7	6
GO:0030855	29	26
GO:0032435	10	9
GO:0032465	4	3
GO:0033028	2	1
GO:0033032	2	1
GO:0033091	1	0
GO:0034341	4	3
GO:0034391	2	0
GO:0034393	1	0
GO:0035136	15	14
GO:0035137	20	19
GO:0042127	132	123
GO:0042802	313	312
GO:0043011	14	12
GO:0043065	127	122
GO:0043370	2	0
GO:0044297	45	35
GO:0044381	3	2
GO:0045595	17	16
GO:0045596	42	18
GO:0045597	29	20
GO:0045619	3	2
GO:0045621	4	3
GO:0045666	55	52
GO:0045686	3	2
GO:0045687	3	1
GO:0045759	1	0
GO:0045760	2	1
GO:0045955	4	3
GO:0046641	21	11
GO:0046642	4	3
GO:0048469	45	42
GO:0048661	3	2
GO:0048806	1	0
GO:0048872	39	36
GO:0050851	2	1
GO:0050868	13	12
GO:0050892	8	7
GO:0051153	3	0
GO:0051781	4	3
GO:0055001	28	26
GO:0060334	2	1
GO:0060338	2	1
GO:0060391	5	3
GO:0061740	2	1
GO:0070169	5	4
GO:0071600	3	2
GO:0071617	3	2
GO:0140682	5	3
GO:1904894	3	1
GO:2000036	10	7
GO:2000120	4	3
